bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Label 1,Label 2,Label 3,Label 4,Label 5,Note,category
29404730,29404730,2017-11-04 01:24:06.036065 UTC,Customer,"Greetings..
Are you available for resume writing?",Scheduling - Meeting or Job,,,,,,Resume Writing
30265067,30265067,2018-04-03 17:58:48.35945 UTC,Customer,What's your next availability?,Scheduling - Meeting or Job,,,,,Quick Reply,Wood Siding
30265067,,2018-04-03 17:59:45.382072 UTC,Customer,I would like to get an  estimate for siding repair,Price,Job Details,,,,,Wood Siding
30265067,,2018-04-03 18:29:00.359911 UTC,Pro,April. Can likely do est this wk & Work maybe the next. let me know your phone # & address.  [LOCATION]. [PERSON_NAME],Scheduling - Meeting or Job,Contact Information,Location,Price,,,Wood Siding
30265067,,2018-04-03 18:56:44.639868 UTC,Customer,[LOCATION] [PHONE_NUMBER],Location,Contact Information,,,,,Wood Siding
37749231,37749231,2017-09-13 13:48:25.31821 UTC,Customer,Hey can you do the cleaning today at [LOCATION],Scheduling - Meeting or Job,Location,,,,,House Cleaning
37749231,,2017-09-13 14:08:19.654482 UTC,Pro,What time frame were you looking at,Scheduling - Meeting or Job,,,,,,House Cleaning
37749231,,2017-09-13 14:11:43.754087 UTC,Pro,Im no longer doing reacurring cleaning if this is a one time clean i would be happy to accommodate what time today were you looking to have the cleaning done?,Job Details,Scheduling - Meeting or Job,,,,,House Cleaning
37749231,,2017-09-13 14:13:01.61408 UTC,Customer,Yes one time  at 11am,Job Details,Scheduling - Meeting or Job,,,,,House Cleaning
37749231,,2017-09-13 14:13:54.860535 UTC,Customer,Can you make 11am?,Scheduling - Meeting or Job,,,,,,House Cleaning
37749231,,2017-09-13 14:14:56.121271 UTC,Pro,I can do 11:30 would this work for you ??,Scheduling - Meeting or Job,,,,,,House Cleaning
37749231,,2017-09-13 14:17:14.977126 UTC,Customer,Yes,Generic Answer,Confirmation - Meeting,,,,,House Cleaning
37749231,,2017-09-13 14:17:57.86114 UTC,Customer,My number is [PHONE_NUMBER] do you take cash payment,Contact Information,Payment,,,,,House Cleaning
37749231,,2017-09-13 14:18:35.659458 UTC,Pro,Okay see you at 11:30 yes cash is fine,Confirmation - Meeting,Payment,Scheduling - Meeting or Job,,,,House Cleaning
37749231,,2017-09-13 14:18:48.465478 UTC,Customer,Ok thank you,Confirmation - Meeting,Payment,,,,,House Cleaning
37749231,,2017-09-13 14:19:13.868863 UTC,Customer,Btw my name is Devon,,,,,,,House Cleaning
37749231,,2017-09-13 14:21:34.761087 UTC,Customer,Just a break down of the house it's a 3bd room counting the Attic in and a 1ba the 2 bedrooms have carpet,Job Details,,,,,,House Cleaning
37749231,,2017-09-13 15:32:42.731062 UTC,Customer,Are you here,Follow-up,,,,,,House Cleaning
37749231,,2017-09-13 15:33:13.287517 UTC,Customer,I just text the number saying I'm on my way,Confirmation - Meeting,Confirmation - Contact,,,,,House Cleaning
37749231,,2017-09-13 15:33:54.920499 UTC,Pro,Hi im here but no parking may we reschedule for sat. Morning at 9,Confirmation - Meeting,Scheduling - Meeting or Job,Hire,,,,House Cleaning
37749231,,2017-09-13 15:34:42.702423 UTC,Pro,Yes cant find parking been here since 11:15,Confirmation - Meeting,,,,,,House Cleaning
37749231,,2017-09-13 15:38:58.778937 UTC,Customer,I'm here,Confirmation - Meeting,,,,,,House Cleaning
37749231,,2017-09-13 15:39:11.263129 UTC,Customer,I can't reschedule,Scheduling - Meeting or Job,,,,,,House Cleaning
37749231,,2017-09-13 15:39:31.749831 UTC,Customer,Just double park at the address,Location,,,,,,House Cleaning
37749231,,2017-09-13 15:39:37.298159 UTC,Customer,I'm here,Confirmation - Meeting,,,,,,House Cleaning
37749231,,2017-09-13 15:39:46.391249 UTC,Customer,Come to [LOCATION],Location,,,,,,House Cleaning
39585061,39585061,2017-09-26 23:35:48.511029 UTC,Customer,Would you do garage epoxy too?,Job Details,,,,,,Pressure Washing
39585061,,2017-09-26 23:42:35.676119 UTC,Pro,Do you mean apply it or clean it,Job Details,,,,,,Pressure Washing
42530966,42530966,2016-10-11 14:41:41.103903 UTC,Pro,"Hi [PERSON_NAME],

Thank you for checking out my quote for excellent deejay services, if you have any questions or concerns about the quote please let me know and I will be happy to assist- [PERSON_NAME]",Price,,,,,,DJ
42530966,,2017-05-04 20:12:49.891208 UTC,Customer,Hi [PERSON_NAME]! Are you available July 1st?,Scheduling - Meeting or Job,,,,,,DJ
42530966,,2017-05-04 20:19:52.654022 UTC,Pro,"Hi [PERSON_NAME], I am available on that date. ",Confirmation - Meeting,Scheduling - Meeting or Job,,,,,DJ
42530966,,2017-05-04 20:26:20.039138 UTC,Customer,Ok great! Having a back yard birthday party,Confirmation - Meeting,Job Details,Scheduling - Meeting or Job,,,,DJ
42530966,,2017-05-04 20:28:19.766454 UTC,Pro,"Oh nice, let me know and I will make arrangements. Send me details, music requests, time to be there and address etc [EMAIL_ADDRESS] [PHONE_NUMBER] and [PHONE_NUMBER] ",Job Details,Contact Information,Scheduling - Meeting or Job,Location,,,DJ
42530966,,2017-05-04 20:39:47.760186 UTC,Customer,Sounds good will send you the info,Confirmation - Contact,,,,,,DJ
42530966,,2017-05-07 03:35:12.174432 UTC,Customer,"Hi, I've sent you the info in your email. When you look it over you can let me know what's the next step. Thx",Confirmation - Contact,,,,,,DJ
42530966,,2017-05-07 03:36:30.299945 UTC,Pro,"Hi [PERSON_NAME],

I got the info and added it to my calendar. Thank you and will keep in touch as it gets closer ",Confirmation - Contact,,,,,,DJ
42530966,,2017-05-07 15:48:49.015344 UTC,Customer,Ok cool,,,,,,,DJ
43225206,43225206,2017-07-22 17:56:04.626357 UTC,Customer,"Hi [PERSON_NAME], Checking to see when we are on your schedule next.  Last service was in late April.  I found a yellow jacket (or similar small ground hornet) nest underneath one of our A/C units. Pretty big nest with a lot of activity.  Also still having a lot of ant activity. Please let me know.  Thanks, [PERSON_NAME] [PHONE_NUMBER]",Scheduling - Meeting or Job,Job Details,Contact Information,,,,Pest Control Services
43225206,,2017-07-22 20:43:11.905312 UTC,Pro,"Hello Mr [PERSON_NAME]. This is Candace with Titans Pest Management. All of our technicians are on vacation out of the country this week. They will be resuming service on the 31st of July. I will be glad to put you on [PERSON_NAME]'s schedule for that Monday July 31st.

- [PERSON_NAME].",Scheduling - Meeting or Job,,,,,,Pest Control Services
43225206,,2017-07-23 01:47:03.375474 UTC,Customer,"Hi [PERSON_NAME].  That Friday, the 4th of August would work better. Something earlier in the morning if possible.",Scheduling - Meeting or Job,,,,,,Pest Control Services
43225206,,2017-08-18 16:05:18.639235 UTC,Customer,"Hi [PERSON_NAME]/[PERSON_NAME],

Can someone please call me? Your phone number does not have voicemail and I would like to schedule service again. We are supposed to be on your bimonthly plan. 

Thanks,
[PERSON_NAME] 
[PHONE_NUMBER]",Follow-up,Scheduling - Meeting or Job,Contact Information,Confirmation - Contact,,,Pest Control Services
45816217,45816217,2018-01-12 16:43:42.494157 UTC,Customer,What's your next availability?,Scheduling - Meeting or Job,,,,,Quick Reply,Cockroach Extermination
45816217,,2018-01-12 16:52:20.360631 UTC,Customer,I need someone today,Scheduling - Meeting or Job,,,,,,Cockroach Extermination
45816217,,2018-01-12 17:27:18.891391 UTC,Pro,What's your address and phone number?,Contact Information,Location,,,,,Cockroach Extermination
45816217,,2018-01-12 18:04:43.742531 UTC,Pro,I can have someone come out this afternoon,Scheduling - Meeting or Job,,,,,,Cockroach Extermination
46086074,46086074,2016-12-05 12:14:11.253607 UTC,Pro,[PERSON_NAME] please view profile as well. I would like to give you a fitness assessment to determine how many session a week you may need this is the only way to know for sure. My schedule is pretty open right today so if your ready to get started give me a call [PHONE_NUMBER].,Job Details,Contact Information,Scheduling - Meeting or Job,,,,Personal Training
46086074,,2016-12-05 12:54:34.639254 UTC,Pro,Also feel free to follow me on Instagram as well.,,,,,,,Personal Training
46086074,,2017-07-05 12:35:53.362015 UTC,Customer,"Hi, i know its been months since i requested a personal trainer.  Not sure if you are still interested and if you are is the quote the same?",Price,,,,,,Personal Training
46086074,,2017-07-05 12:41:54.050846 UTC,Pro,Good morning [PERSON_NAME] yes on both your question. Give me a call [PHONE_NUMBER] i have opening today if your to get started.,Contact Information,Scheduling - Meeting or Job,Price,,,,Personal Training
46086074,,2017-07-05 12:49:31.40597 UTC,Pro,Also look at your schedule so you can see what days work for you and we can take it from their ok.,Scheduling - Meeting or Job,,,,,,Personal Training
46086074,,2017-07-05 12:50:28.200072 UTC,Customer,I was thinking of starting in two weeks if that is ok with you. how long are the sessions? Do i go to your gym or do you come to mine? How do i go about paying?,Scheduling - Meeting or Job,Job Details,Payment,,,,Personal Training
46086074,,2017-07-05 12:58:36.597415 UTC,Pro,These are all good question that you are asking [PERSON_NAME] this is why the assessment is important. I will weigh you and take your body fat and talk about the direction we should go with your training. Also ask me any thing in person you need to know about location payment all that. How does that sound.,Job Details,Scheduling - Meeting or Job,,,,,Personal Training
46086074,,2017-07-05 13:16:42.439419 UTC,Pro,[PERSON_NAME] do you have transpation if so i would like to meet with you at Dunkin Doughnut or Panara Bread witch ever is better for you.,Scheduling - Meeting or Job,Location,,,,transpation?,Personal Training
46086074,,2017-07-05 13:19:30.196614 UTC,Customer,I am currently at work now. I am not seeing the schedule do you mine sending me the link.,Scheduling - Meeting or Job,,,,,,Personal Training
46086074,,2017-07-05 13:22:58.960118 UTC,Pro,I want to make this very smooth for you so just give me a day an time that works fir you this week and i can make it happen ok [PERSON_NAME].,Scheduling - Meeting or Job,,,,,,Personal Training
46086074,,2017-07-05 13:30:29.983025 UTC,Customer,is Saturday at 10 ok?,Scheduling - Meeting or Job,,,,,,Personal Training
