bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Label 1,Label 2,Label 3,Label 4,Label 5,Note,category
18314236,18314236,2018-01-31 23:16:50.788616 UTC,Customer,[PERSON_NAME]. You helped us a few years back and we are in need of an electrician again!  Are you able to install a new electrical hook up for a new spa we have purchased?  It requires a dedicated hook up for a 240v spa and will be outdoors. We are in Bay Park area just off I-5. Please let me know... Thanks!,Job Details,Location,,,,,Electrical and Wiring Repair
42126696,42126696,2018-03-17 03:13:58.932752 UTC,Customer,"Hi [PERSON_NAME], can you meet me on Sunday 10:15 AM in Westport to see the job?",Scheduling - Meeting or Job,Location,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:19:01.550817 UTC,Pro,"Sunday i can come only afternoon because i will be do another job in the morning, any time you're available afternoon please or mond9",Scheduling - Meeting or Job,,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:20:59.94417 UTC,Customer,"Hi [PERSON_NAME], what time in the afternoon can you be there?
-Sante",Scheduling - Meeting or Job,,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:22:13.044109 UTC,Pro,After 4 pm just send me your address and phone number.,Scheduling - Meeting or Job,Location,Contact Information,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:24:47.452388 UTC,Customer,"7 Dr [PERSON_NAME][LOCATION].
[PHONE_NUMBER].",Location,Contact Information,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:26:45.235242 UTC,Pro,"I got you i Wil call you before I come.
Thank you have good night 
[PERSON_NAME] ",Confirmation - Contact,,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:27:12.253837 UTC,Customer,Good night.,,,,,,,Tree Trimming and Removal
42126696,,2018-03-18 17:47:03.49291 UTC,Customer,"Hi [PERSON_NAME], I already hired someone.  Thank you",Rejection,,,,,,Tree Trimming and Removal
42126696,,2018-03-18 18:10:31.704319 UTC,Pro,No problem,,,,,,,Tree Trimming and Removal
42597980,42597980,2017-06-01 02:49:42.167274 UTC,Customer,"Hi, [PERSON_NAME],

You sent me a quote back in October, and I was wondering if this information is still accurate? I'd like to go ahead and schedule a trial lesson if you are available. I work Mon-Fri until 4pm and off at 3pm on Fridays. Weekends are open for me. Please let me know what works best for you. 

Thank you! 

-- [PERSON_NAME] ",Price,Job Details,Scheduling - Meeting or Job,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:00:12.519215 UTC,Pro,"Hello, [PERSON_NAME]...

Yes, all info still the same.  Looking forward to connecting!

Availability this week (30 minute sessions): Thursday 4:30pm, 7:30pm.  Nothing this Friday.  Saturday 9:30am, 11:00am.

Next week: Monday 7:30pm.  Tuesday 4:30pm, 5:00pm.

Let me know your preference.

- [PERSON_NAME]
[LOCATION] ",Price,Scheduling - Meeting or Job,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:50:40.751818 UTC,Customer,Perfect. Let's do Saturday at 11:00am. [LOCATION][PERSON_NAME] in [LOCATION]?,Scheduling - Meeting or Job,Location,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:53:38.762591 UTC,Pro,"Great!

Yep, inside the [LOCATION] Art School.

Call or text if any questions or issues. 

Looking forward!

- [PERSON_NAME]
[LOCATION]",Confirmation - Meeting,Location,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:55:15.232451 UTC,Customer,"Sounds good. See you Saturday! 

-- [PERSON_NAME] ",Confirmation - Meeting,,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 14:53:59.878424 UTC,Customer,"Hi, [PERSON_NAME],

I'm sorry, but I need to reschedule. Are you still available on  Tuesday at 4:30? I forgot about a doctor's appointment I have Saturday at 10:30. 

Thanks,

[PERSON_NAME] ",Scheduling - Meeting or Job,,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 21:12:22.778239 UTC,Customer,"Hi, [PERSON_NAME],

Please disregard earlier message. I was able to get it figured out. I'll see you tomorrow at 11:00!

-- [PERSON_NAME]",Scheduling - Meeting or Job,,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 22:46:50.12701 UTC,Pro,understood.  see you tomorrow.,Confirmation - Meeting,,,,,,Piano Lessons (for adults)
46267079,46267079,2016-12-07 16:47:58.220426 UTC,Pro,"Hi again [PERSON_NAME],
      
I want to tell you a little be about the process which is very easy and painless. I will take multiple shots at different angles with as many expressions as possible to ensure the perfect image. Years of experience, photographing big groups or one to one couching, have provided me the skills to do it efficiently while maintaining a very high quality.  
  
My studio is in a convenient location in [LOCATION] and I can work weekends and after hours.

Please check my website for more examples of my work, here is the link: http://www.godoyshots.com 

Also take a look at my reviews on Yelp: http://www.yelp.com/biz/[LOCATION]-[LOCATION]-2 and some recommendations in my LinkedIn profile: https://www.linkedin.com/pub/nabor-godoy/a2/12b/130

Looking forward to working with you,

[PERSON_NAME],
[PHONE_NUMBER]
mailto:[EMAIL_ADDRESS]
http://www.godoyshots.com",Job Details,Location,Scheduling - Meeting or Job,Contact Information,,,Corporate Headshots
46267079,,2016-12-13 19:25:08.641172 UTC,Pro,"[PERSON_NAME],

I’m just following up with your request for a headshot, and I was wondering if you need more information such as what it is included and about the process, or any concern you might have. All questions are welcome!

Also, I have other packages we could offer you, here is the link: http://www.godoyshots.com/#!/p/rate. And please visit my website for more examples of my work (http://www.godoyshots.com). 

Thanks, and have a great rest of the day and a wonderful week! I look forward to hearing from you soon,

[PERSON_NAME] 
[PHONE_NUMBER]
[EMAIL_ADDRESS]
www.godoyshots.com",Follow-up,Job Details,Price,Contact Information,,,Corporate Headshots
46267079,,2016-12-26 18:50:58.507861 UTC,Pro,"[PERSON_NAME], 

I hope you had a wonderful holiday. I'm just following up on you and I was wondering if you have made a decision in regard to the photo session. If you haven't and still interested in my service, please feel free to ask any question about the process and also let me know if you would like to have a quick phone meeting in order to clarify any concern.

Thanks for your time and have a wonderful week, 

[PERSON_NAME],
[PERSON_NAME]
[PHONE_NUMBER]
[EMAIL_ADDRESS]
www.godoyshots.com",Follow-up,Job Details,Contact Information,,,,Corporate Headshots
46267079,,2017-11-06 02:24:08.663068 UTC,Customer,"[PERSON_NAME], Sorry for such a late reply.  I'm attempting to take a headshot photo but I need the [LOCATION] flag in the back.  Just like the official government photos.  Must photographers don't have a flag but I will accept a photoshop.  Attached is an example. Please let me know if this is possible.",Job Details,,,,,,Corporate Headshots
46267079,,2017-11-06 02:24:17.446745 UTC,Customer,"Regards,  [PERSON_NAME]",,,,,,,Corporate Headshots
46267079,,2017-11-06 02:42:30.931732 UTC,Pro,"[PERSON_NAME], thanks so much for your reply. Yes, it is possible. I don't have a flag and if you don't bring one, I can photoshop the image as a background. In that case, you would have to give me the background image with the flag. Usually, you can buy one as stock very economical. I would highly recommend you bring one. If photoshop, the extra price would be $80.  Please let me know. All the best, [PERSON_NAME].",Job Details,Price,,,,,Corporate Headshots
46267079,,2017-11-08 20:14:17.907958 UTC,Pro,"[PERSON_NAME],

I hope all is well on your end. I was wondering whether you have any updates in regard to the headshot photo session. If you haven't and still planning it, let me know whether you would like to have a quick phone meeting in order to clarify any concern.

Thanks, and have a great rest of the day! I look forward to working with you,

[PERSON_NAME]
[PHONE_NUMBER]
[EMAIL_ADDRESS]
www.godoyshots.com",Follow-up,Job Details,Contact Information,,,,Corporate Headshots
47929127,47929127,2017-05-24 19:57:26.829779 UTC,Customer,Sounds good. What's next?,,,,,,,Massage Therapy
47929127,,2017-05-24 19:59:42.077287 UTC,Pro,"When would you like to schedule? I have 4pm today, 9 or 1:30 tomorrow, as then Friday 3:15 or 7:30. Any of those work?",Scheduling - Meeting or Job,,,,,,Massage Therapy
