bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Label 1,Label 2,Label 3,Label 4,Label 5,Note,category
18314236,18314236,2018-01-31 23:16:50.788616 UTC,Customer,[PERSON_NAME]. You helped us a few years back and we are in need of an electrician again!  Are you able to install a new electrical hook up for a new spa we have purchased?  It requires a dedicated hook up for a 240v spa and will be outdoors. We are in Bay Park area just off I-5. Please let me know... Thanks!,Job Details,,,,,,Electrical and Wiring Repair
42126696,42126696,2018-03-17 03:13:58.932752 UTC,Customer,"Hi [PERSON_NAME], can you meet me on Sunday 10:15 AM in Westport to see the job?",Scheduling - Meeting or Job,Location,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:19:01.550817 UTC,Pro,"Sunday i can come only afternoon because i will be do another job in the morning, any time you're available afternoon please or mond9",Scheduling - Meeting or Job,,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:20:59.94417 UTC,Customer,"Hi [PERSON_NAME], what time in the afternoon can you be there?
-Sante",Scheduling - Meeting or Job,,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:22:13.044109 UTC,Pro,After 4 pm just send me your address and phone number.,Scheduling - Meeting or Job,Location,Contact Information,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:24:47.452388 UTC,Customer,"7 Dr [PERSON_NAME][LOCATION].
[PHONE_NUMBER].",Contact Information,Location,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:26:45.235242 UTC,Pro,"I got you i Wil call you before I come.
Thank you have good night 
[PERSON_NAME] ",Confirmation - Meeting,Confirmation - Contact,,,,,Tree Trimming and Removal
42126696,,2018-03-17 03:27:12.253837 UTC,Customer,Good night.,,,,,,,Tree Trimming and Removal
42126696,,2018-03-18 17:47:03.49291 UTC,Customer,"Hi [PERSON_NAME], I already hired someone.  Thank you",Rejection,,,,,,Tree Trimming and Removal
42126696,,2018-03-18 18:10:31.704319 UTC,Pro,No problem,,,,,,,Tree Trimming and Removal
42597980,42597980,2017-06-01 02:49:42.167274 UTC,Customer,"Hi, [PERSON_NAME],

You sent me a quote back in October, and I was wondering if this information is still accurate? I'd like to go ahead and schedule a trial lesson if you are available. I work Mon-Fri until 4pm and off at 3pm on Fridays. Weekends are open for me. Please let me know what works best for you. 

Thank you! 

-- [PERSON_NAME] ",Price,Scheduling - Meeting or Job,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:00:12.519215 UTC,Pro,"Hello, [PERSON_NAME]...

Yes, all info still the same.  Looking forward to connecting!

Availability this week (30 minute sessions): Thursday 4:30pm, 7:30pm.  Nothing this Friday.  Saturday 9:30am, 11:00am.

Next week: Monday 7:30pm.  Tuesday 4:30pm, 5:00pm.

Let me know your preference.

- [PERSON_NAME]
[LOCATION] ",Scheduling - Meeting or Job,Location,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:50:40.751818 UTC,Customer,Perfect. Let's do Saturday at 11:00am. [LOCATION][PERSON_NAME] in [LOCATION]?,Scheduling - Meeting or Job,Location,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:53:38.762591 UTC,Pro,"Great!

Yep, inside the [LOCATION] Art School.

Call or text if any questions or issues. 

Looking forward!

- [PERSON_NAME]
[LOCATION]",Confirmation - Meeting,Location,,,,,Piano Lessons (for adults)
42597980,,2017-06-01 03:55:15.232451 UTC,Customer,"Sounds good. See you Saturday! 

-- [PERSON_NAME] ",Confirmation - Meeting,Scheduling - Meeting or Job,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 14:53:59.878424 UTC,Customer,"Hi, [PERSON_NAME],

I'm sorry, but I need to reschedule. Are you still available on  Tuesday at 4:30? I forgot about a doctor's appointment I have Saturday at 10:30. 

Thanks,

[PERSON_NAME] ",Scheduling - Meeting or Job,,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 21:12:22.778239 UTC,Customer,"Hi, [PERSON_NAME],

Please disregard earlier message. I was able to get it figured out. I'll see you tomorrow at 11:00!

-- [PERSON_NAME]",Scheduling - Meeting or Job,Confirmation - Meeting,,,,,Piano Lessons (for adults)
42597980,,2017-06-02 22:46:50.12701 UTC,Pro,understood.  see you tomorrow.,Scheduling - Meeting or Job,Confirmation - Meeting,,,,,Piano Lessons (for adults)
