bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Label 1,Label 2,Label 3,Label 4,Label 5,Note,category
27365009,27365009,2018-02-11 16:54:15.485935 UTC,Customer,Sounds good! What's next?,,,,,,Quick Reply,Nutritionist
27365009,,2018-02-11 22:20:38.481901 UTC,Pro,"Hi [PERSON_NAME], nice to &quotesee&quote you back! Since it's been two years since we last spoke, perhaps you can tell me if you are still looking for the same thing. How would you like to work together...remotely or in-person? What is your schedule like? Once we determine our first session, you would send payment before hand to my PayPal account before we proceed. I will also send you some forms to complete prior to our session, as well. Best, [PERSON_NAME]",Job Details,Payment,Follow-up,Scheduling - Meeting or Job,,,Nutritionist
27365009,,2018-02-13 20:02:41.064269 UTC,Customer,Hi! I’m currently traveling but will reach out as soon as I get back. Thanks!,Considering,,,,,,Nutritionist
27365009,,2018-02-13 22:28:17.518399 UTC,Pro,"Sounds good and safe travels! Best, [PERSON_NAME]",,,,,,,Nutritionist
31521550,31521550,2017-05-28 22:26:39.337928 UTC,Customer,Can you get the door too if I give you photos and measurement,Job Details,,,,,,Door Installation
40733372,40733372,2016-09-16 03:10:05.801465 UTC,Pro,"Hi Chaitra,

I wanted to follow up on my quote with a coupon code for your child.  Use this link to book your first lesson today and you'll automatically receive $20.00 off.

https://reverblessons.com/t-152344/piano-lessons/75013/20-off

If you have any questions on getting started, let me know and I'd be happy to help.

[PERSON_NAME]

(855) 253-7766
",Price,Follow-up,Scheduling - Meeting or Job,,,,Piano Lessons (for children or teenagers)
40733372,,2016-09-22 03:08:25.846714 UTC,Pro,"Hi Chaitra,

Last message here from the Reverb Lessons team.  Were you able to find an instructor for piano lessons?

I wanted to let you know we've extended your coupon code until today.

https://reverblessons.com/t-152344/piano-lessons/75013/20-off

[PERSON_NAME] you're having a great week.

[PERSON_NAME]

(855) 253-7766
",Price,Follow-up,Contact Information,,,Is a phone number that is part of a signature of a quote also considered Contact Information?,Piano Lessons (for children or teenagers)
40733372,,2017-05-17 21:31:35.808767 UTC,Customer,"Hi I am still looking for a piano teacher for my son. Can you please tell me your price and for how many minutes? Also, the location? Thanks!",Price,Location,,,,,Piano Lessons (for children or teenagers)
40733372,,2017-05-17 23:11:26.048504 UTC,Pro,"Hi Chaitra,

[PERSON_NAME], from the Reverb Lessons Support Staff, here!  Although the promotion we offered you back in September is not longer applicable, I'm happy to offer you 10% off your first four lessons.  Here's your custom link to book with [PERSON_NAME] on the site for 10% off the first lesson package:  

https://reverblessons.com/book/instructor/314/lesson/70?_thumbtack_aid=152344&discount_code=THUMBTACK10&utm_source=thumbtack

On the booking page, you can enter your preferred time for the first lesson and a message to [PERSON_NAME]. You'll also be able to create a login so you can access your account in the future.

You won't be charged unless [PERSON_NAME] accepts your request.  Let me know if you have any questions along the way! 

Best,
Alex
Reverb Lessons
www.ReverbLessons.com
[EMAIL_ADDRESS] 
(855) 253-7766",Price,Scheduling - Meeting or Job,Contact Information,,,,Piano Lessons (for children or teenagers)
40733372,,2017-05-19 21:03:39.759931 UTC,Pro,"Hi Chaitra,

Just wanted to check in today while I was on support. Did you have any questions about booking your lessons? I'd be happy to help. Hope you're having a good one!

https://reverblessons.com/book/instructor/314/lesson/70?_thumbtack_aid=152344&discount_code=THUMBTACK10&utm_source=thumbtack

Best,
Alex
Reverb Lessons
www.ReverbLessons.com
[EMAIL_ADDRESS] 
(855) 253-7766",Follow-up,Contact Information,,,,,Piano Lessons (for children or teenagers)
40733372,,2017-05-23 21:51:57.0572 UTC,Pro,"Hi Chaitra,

I thought I'd check in one more time and see if you're still interested in moving forward with your lessons. Let me know if I can provide any more information - I'm happy to help!

https://reverblessons.com/book/instructor/314/lesson/70?_thumbtack_aid=152344&discount_code=THUMBTACK10&utm_source=thumbtack

Best,
Alex
Reverb Lessons
www.ReverbLessons.com
[EMAIL_ADDRESS] 
(855) 253-7766",Follow-up,Contact Information,,,,,Piano Lessons (for children or teenagers)
40733372,,2017-08-21 22:02:07.217281 UTC,Customer,"What is the price per class and how many minutes? Also, where is the class at?",Price,Location,Job Details,,,,Piano Lessons (for children or teenagers)
43261944,43261944,2017-10-15 17:15:44.975668 UTC,Customer,What's your next availability?,Scheduling - Meeting or Job,,,,,Quick Reply,Local Moving (under 50 miles)
